symbol,company_name,category
ACLBSL,Aarambha Chautari Laghubitta Bittya Sanstha Limited,Microfinance
ADBL,Agriculture Development Bank Limited,Commercial Banks
ADBLD83,Agriculture Development Bank Limited,Commercial Banks
AHPC,Arun Valley Hydropower Development Co. Ltd.,Hydro Power
AIL,Ajod Insurance Ltd,Non Life Insurance
AKBSL,Adhikhola Laghubitta Bittiya Sanstha Limited,Microfinance
AKJCL,Ankhu Khola Jalvidhyut Company Limited,Hydro Power
AKPL,Arun Kabeli Power Ltd.,Hydro Power
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd.,Microfinance
ALICL,Asian Life Insurance Co. Limited,Life Insurance
AMFI,Arambha Microfinance Bittiya Sanstha Ltd.,Microfinance
API,Api Power Company Ltd.,Hydro Power
AVU,Arun Vanaspati Udhyog Limited,Manufacturing And Processing
BARUN,Barun Hydropower Co. Ltd.,Hydro Power
BBC,Bishal Bazar Company Limited,Tradings
BFC,Best Finance Company Ltd.,Finance
BNL,Bottlers Nepal (Balaju) Limited,Manufacturing And Processing
BNT,Bottlers Nepal (Terai) Limited,Manufacturing And Processing
BOKD2079,Bank of Kathmandu Ltd.,Commercial Banks
BOKL,Bank of Kathmandu Ltd.,Commercial Banks
BPCL,Butwal Power Company Limited,Hydro Power
BSL,Birat Shoe Limited,Manufacturing And Processing
BSM,Butwal Spinning Mills Limited,Manufacturing And Processing
CBBL,Chhimek Laghubitta Bikas Bank Limited,Microfinance
CBL,Civil Bank Ltd,Commercial Banks
CCBL,Century Commercial Bank Ltd.,Commercial Banks
CEFL,City Express Finance Co. Limited,Finance
CFCL,Central Finance Co. Ltd.,Finance
CFL,Crystal Finance Ltd.,Finance
CGH,Chandragiri Hills Limited,Hotels And Tourism
CHCL,Chilime Hydropower Company Limited,Hydro Power
CHL,Chhyangdi Hydropower Ltd.,Hydro Power
CIT,Citizen Investment Trust,Investment
CIZBD86,Citizen Bank International Limited,Commercial Banks
CMB,Capital Merchant Bank & Finance Co. Ltd.,Finance
CMF1,Citizen Bank International Limited,Commercial Banks
CMF2,CBIL Capital Limited,Mutual Fund
CORBL,Corporate Development Bank Limited,Development Banks
CZBIL,Citizen Bank International Limited,Commercial Banks
DBBL,Deva Bikas Bank Limited,Development Banks
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance
DHPL,Dibyashwori Hydropower Ltd.,Hydro Power
EBL,Everest Bank Limited,Commercial Banks
EBLCP,Everest Bank Limited,Commercial Banks
EBLD2078,Everest Bank Limited,Commercial Banks
EDBL,Excel Development Bank Ltd.,Development Banks
EIC,Everest Insurance Co. Ltd.,Non Life Insurance
FHL,Fleur Himalayan Limited,Manufacturing And Processing
FMDBL,First Micro Finance Development Bank Ltd.,Microfinance
FOWAD,Forward Community Microfinance Bittiya Sanstha Ltd.,Microfinance
GBBL,Garima Bikas Bank Limited,Development Banks
GBD80/81,Global IME Bank Limited,Commercial Banks
GBIME,Global IME Bank Limited,Commercial Banks
GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,Microfinance
GDBL,Gandaki Bikas Bank Limited,Development Banks
GFCL,Goodwill Finance Co. Ltd.,Finance
GGBSL,ghodighoda laghubitta bittiya sanstha ltd,Microfinance
GHL,Ghalemdi Hydro Limited,Hydro Power
GIC,General Insurance Company Nepal Ltd,Non Life Insurance
GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,Microfinance
GIMES1,Global IME Bank Limited,Commercial Banks
GLBSL,Gurans Laghubitta Bittiya Sanstha Ltd,Microfinance
GLH,Greenlife Hydropower Limited,Hydro Power
GLICL,Gurans Life Insurance Company Ltd.,Life Insurance
GMFBS,Ganapati Microfinance Bittiya Sanstha Ltd.,Microfinance
GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,Finance
GRDBL,Green Development Bank Ltd.,Development Banks
GRU,Gorakhkali Rubber Udhyog Limited,Manufacturing And Processing
GUFL,Gurkhas Finance Ltd.,Finance
GWFD83,Goodwill Finance Co. Ltd.,Finance
HBL,Himalayan Bank Limited,Commercial Banks
HBLD83,Himalayan Bank Limited,Commercial Banks
HBT,Harisiddhi Brick And Tiles Limited,Manufacturing And Processing
HDHPC,Himal Dolakha Hydropower Com. Ltd.,Hydro Power
HDL,Himalayan Distillery Limited,Manufacturing And Processing
HFL,Himalayan Finance Limited (Bittiya Sanstha),Finance
HIDCL,Hydorelectricity Investment and Development Company Ltd,Investment
HPPL,Himalayan Power Partner Ltd.,Hydro Power
HURJA,Himalaya Urja Bikas Company Limited,Hydro Power
ICFC,ICFC Finance Limited,Finance
ICFCD83,ICFC Finance Limited,Finance
IGI,IME General Insurance Ltd.,Non Life Insurance
ILBS,Infinity Laghubitta Bittiya Sastha Ltd,Microfinance
JBBL,Jyoti Bikas Bank Limited,Development Banks
JBNL,Janata Bank Nepal Ltd.,Commercial Banks
JFL,Janaki Finance Ltd.,Finance
JLI,Jyoti Life Insurance Ltd,Life Insurance
JOSHI,Joshi Hydropower Development Company Ltd,Hydro Power
JSLBB,Janautthan Samudayic Laghubitta Bikas Bank Ltd.,Microfinance
JSM,Jyoti Sinning Mills Limited,Manufacturing And Processing
KADBL,Kanchan Development Bank Limited,Development Banks
KBBL,Kailash Bikas Bank Ltd.,Development Banks
KBL,Kumari Bank Limited,Commercial Banks
KBLD86,Kumari Bank Limited,Commercial Banks
KEF,Kumari Bank Limited,Commercial Banks
KKHC,Khanikhola Hydropower Co. Ltd.,Hydro Power
KMCDB,Kalika Microcredit Development Bank Ltd.,Microfinance
KPCL,Kalika power Company Ltd,Hydro Power
KRBL,Karnali Development Bank Limited,Development Banks
KSBBL,Kamana Sewa Bikas Bank Limited,Development Banks
LBBL,Lumbini Bikas Bank Ltd.,Development Banks
LBLD86,Laxmi Bank Limited,Commercial Banks
LEC,Liberty Energy Company Limited,Hydro Power
LEMF,Laxmi Bank Limited,Commercial Banks
LFC,Lalitpur Finance Ltd.,Finance
LGIL,Lumbini General Insurance Co. Ltd.,Non Life Insurance
LICN,Life Insurance Co. Nepal,Life Insurance
LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,Microfinance
LUK,Laxmi Capital Market Limited,Mutual Fund
LVF1,Laxmi Bank Limited,Commercial Banks
MBL,Machhapuchhre Bank Limited,Commercial Banks
MBLD2085,Machhapuchhre Bank Limited,Commercial Banks
MDB,Miteri Development Bank Limited,Development Banks
MEGA,Mega  Bank Nepal Ltd.,Commercial Banks
MEN,Mountain Energy Nepal Limited,Hydro Power
MERO,Mero Microfinance Bittiya Sanstha Ltd.,Microfinance
MFIL,Manjushree Finance Ltd.,Finance
MFLD85,Manjushree Finance Ltd.,Finance
MHNL,Mountain Hydro Nepal Limited,Hydro Power
MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,Microfinance
MLBL,Mahalaxmi Bikas Bank Ltd.,Development Banks
MLBSL,Mahila Laghubitta Bittiya Sanstha Ltd,Microfinance
MMFDB,Mirmire Microfinance Development Bank Ltd.,Microfinance
MNBBL,Muktinath Bikas Bank Ltd.,Development Banks
MPFL,Multipurpose Finance Company  Limited,Finance
MSLB,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,Microfinance
MSMBS,Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,Microfinance
NABBC,Narayani Development Bank Limited,Development Banks
NABIL,Nabil Bank Limited,Commercial Banks
NADEP,Nadep Laghubittiya bittya Sanstha Ltd.,Microfinance
NAGRO,Nepal Agro Laghubitta Bittiya Sanstha Ltd.,Microfinance
NBB,Nepal Bangladesh Bank Limited,Commercial Banks
NBBD2085,Nepal Bangladesh Bank Limited,Commercial Banks
NBBL,NagBeli LaghuBitta Bikas Bank Ltd.,Microfinance
NBBU,Nepal Bitumin And Barrel Udhyog Limited,Manufacturing And Processing
NBF2,Nabil Bank Limited,Commercial Banks
NBL,Nepal Bank Limited,Commercial Banks
NBLD82,Nabil Bank Limited,Commercial Banks
NCCB,Nepal Credit And Commercial Bank Limited,Commercial Banks
NCDB,Nepal Community Development Bank Ltd.,Development Banks
NEF,Nabil Bank Limited,Commercial Banks
NFD,Nepal Film Development Company Limited,Others
